entry,page_num,doc_page_num,main_entry,two_publishers,see,two_parentheses,net,ellipses,floaty_bits,begins_with_numbers
"Aberdeen (Univ. of)-Annual report on the state of finances. 5d. ... WYMAN, June 15",1,9,True,False,False,False,False,False,False,False
"Aberdeen University-Annual statistical report, 1913-14. Ifd. . WYMAN, Mar. 15",1,9,True,False,False,False,False,False,False,False
"Aberdeenshire, Mackie (A.) is. 6d. net....May 15",1,9,False,False,False,False,False,False,False,False
"Abiding city, Yco (M.) 25. 6d. net.. About the feet of God: daily prayers, Devereux (E. R. P.) 6d., 4d., id. net ..Oct. 15",1,9,False,False,False,True,True,False,False,False
"Above all things, Rowlands (E. A.) 6d. ..Sep. 15",1,9,False,False,False,False,False,False,False,False
"Absolute and Abitofhell, Knox (R. A.) is. Sep. 15",1,9,False,False,False,False,False,False,False,False
"Absolution of the sick and dying, Notes on, Linton (E. C.) 25. 6d. net ...... June 15",1,9,False,False,False,False,False,True,False,False
"Academy Architecture and Architectural Review. Vols. 46 and 47. Ryl. 8vo., ea. 45. rod. net, swd. 43. net ...OFFICE, Feb., etc. 15",1,9,True,False,False,False,True,False,False,False
"Academy Architecture, Collection of coloured plates fr. 8s. net July 15",1,9,False,False,False,False,False,False,False,False
"Accidentals, Mackay (H.) 5s. net ..Apr. 15",1,9,False,False,False,False,False,False,False,False
"Accidents, Common, in peace and war, Wilson (A.) 6d. net Feb. 15",1,9,False,False,False,False,False,False,False,False
"Accolade, The, Sidgwick (E.) 6s.. .....Dec. 15",1,9,False,False,False,False,False,True,False,False
"Accountancy. See also Appendix Accounting, Railroad, Hooper (W. E.) 78. 6d. net Apr. 15",1,9,False,False,False,False,False,False,False,False
"Accounts, Advanced, Carter (R. N.) 5s. net Apr. 15",1,9,False,False,False,False,False,False,False,False
"Accounts, Picture and variety theatre, Laban (A.) ..Mar. 15",1,9,False,False,False,False,False,False,False,False
"Accounts (Public)-Committee of : First report. fd. WYMAN, Feb. 15",1,9,True,False,False,False,False,False,False,False
"Accounts (Public)-Second report from the Committee on. id. . WYMAN, June 15",1,9,True,False,False,False,False,False,False,False
"Accounts (Public)-Committee of : 1st and 2nd Reports with Proceedings, Minutes of evidence, and Appendices. Is. Id. ....WYMAN, Aug. 15",1,9,True,False,False,False,False,False,False,False
"Accounts (Public)-Committee of: Index and digest of evidence. 3d. .. WYMAN, Oct. 15",1,9,True,False,False,False,False,False,False,False
3s. 6d.,,,False,False,False,False,False,False,True,True
"Accounts, Theatre, Chantrey (W. H.) 3s. 6d. net Apr. 15",2,10,False,False,False,False,False,False,False,False
"Achievement of France (The). Repr. fr. The Times."" 18mo. is. net swd. METHUEN, July 15",2,10,True,False,False,False,False,False,False,False
"Achievement of Richard Furlong, Thurston (E. T.) 6s. Sep. 15",2,10,False,False,False,False,False,False,False,False
"Acorn (George)—The Driving force. Cr. 8vo. 7} x 41, pp. 320, 6s. .LONG, July 15",2,10,True,False,False,False,False,False,False,False
"Across Europe in a motor boat, Rowland (H. C.) 75. 6d. net .... Apr. 15",2,10,False,False,False,False,False,False,False,False
"Actionable non-disclosure, Law rela. to, bower's, 255. net. Mar. 15",2,10,False,False,False,False,False,False,False,False
"Actions and reactions, Kipling (R.) 2 vols., ea. 28. 6d. net Mag: IS Active service hints for Boy Scouts, Fenn (E. A. H.) 6d. net ....May 15",2,10,False,False,False,True,True,False,False,False
"Active service pocket bk., Stewart (B.) 5s, net Mar. 15",2,10,False,False,False,False,False,False,False,False
"(Trustees), £d. ; Caledonian Railway Ord. Confirm., Is. 6d.; L.G.B.'s Prov. Ord. Confirm. (No. I), is. WYMAN, July 15",2,10,True,False,False,True,False,False,False,False
"Acts—Appropriation, 3d.; Cotton Associations (Emergency action), 4d. ; Customs (War powers) (No. 2), d.; Elections and Registra- tion, d.; Execution of Trusts (War facilities) Amend., d. ; Expiring Laws Continuance, id. ; Finance, 2ld.; Government of India, 7d. ; Isle of Man (Customs), Jd.; Maintenance of Live Stock, d.; Milk and Dairies (Consolidation), 2 d.; Naval Discipline (No. 2), id.; Notifica- tion of Births (Extension), fd.; Police Magis- trates (Superannuation); }d.; Price of Coal (Limitation) Id.; Public Works Loan, id. ; Scottish Universities (Emergency Powers), d.; Special Acts (Extension of time), 1d.; Trading with the Enemy Amend., įd.; Naval Discip- line, 1866 (as amended, N.D. (No. 2) Act, 1915), 4d.; Electric Lighting Ord. Confirm. (No. 1.), 6d.; Forfar Gas Ord. Confirm., Is. ; Frimley and Farnborough District Water, 15. ; Gt. North of Scotland Railway Ord. Confirm., is. gd.; Highland Railway Ord. Confirm., 6d.; Irvine and District Water Bd. (Emergency powers) Ord. Confirm., is. ; L.G.B.'s Prov. Ord. Confirm. : No. 2, is. 6d. ; No. 3, is. ; No. 4, 9d.; No. 7, 3d. ; L.C.C. Money, gil.; L.C.C. Parks, &c., 6d. ; Metropolitan District Rail- way, 2s. 3d. ; Pack-Beresford's Divorce, gd.; Roy. School for Deaf and Dumb Children, Mar- gate, 66. ; Sea Fisheries (Cardigan Bay) Prov. Ord. Confirm., 6d. ; do. Poole, 9d. ; Tramways Ord. Confirm., 6d. WYMAN, Aug 15",2,10,True,False,False,True,False,False,False,False
"Acts—Ascot District Gas and Electricity, is. 3d. ; Blyth Harbour, is. 3d. ; Bristol Tramways, 3d.; Bury and District Joint Water Bd., 6d. ; Doncaster Corporation, 4s. 6d.; Dunfermline and District Tramways (Exten.) Ord. Confirm., 25. ; Falmouth Docks, is.; Foleshill Road (Coventry) Congregational Chapel Scheme Confirm., 6d.; Gas and Water Ord. Confirm. (No. 1), 43. ; Glasgow Corporation (Parks, &c.) Ord. Confirm., is, 6d.; Great Central Railway, 6d. ; Ilfracombe Gas, 25. ; Irvine and District Water Bd. Confirm., Is. 3d. ; Kilmarnock Gas Ord. Confirm., 3d. ; Land Drainage Prov. Ord. Confirm. (Fangfoss, &c.), 3d. ; Ditto (Ouse), 15.; Liverpool Corporation, 9d.; L.G.B. Prov. Ord. Confirm. (No. 6), is. 6d.; L.G.B. (Ireland) Prov. Ord. Confirm. (No. 1), is. ; London Chatham and Dover Railway, gd. ; London Electric Railway Companies' Facilities, 3d.; Mersey Railway, 6d.; Port Glasgow Gas and Burgh Exten. Ord. Confirm., 25. 3d. ; Prov. Ord. (Marriages) Confirm., 3d.; Salop County Council (Shirehall and Guildhall), 9d. ; Sheffield Corporation (Tramways), gd.; Skegness Gas 25. 3d. ; South Staffordshire Waterworks, 3s. ; Southend Waterworks, IS. WYMAN, Sept. 15",2,10,True,False,False,True,False,False,False,False
"Acts---American Loan, d.; Consolidated Fund (No. 4), įd.; Post Office and Telegraph, d.; Altrincham Gas, is. 9d.; Brighton and Hove Gas, 6d.; Conway Fisheries Prov. Ord. Con- firm., Is. 60.; Education Bd. Prov. Ord. Con- firm. (Derbyshire, &c.), 9d.; Ditto (London), IS. ; Electric Lighting Ord. Confirm. (No.2), 25.; Ditto (No. 5), is. gd.; Friends' Provident Institution, 25. 3d.; Gas and Water Ord. Confirm. (No. 3), 45. 6d.; Great Eastern Rail- way, 3s. gd.; Halifax Corporation, 25. 6d. ; Land Drainage (Raveningham) Prov. Ord. Confirm., 3d.; Local Government Board's Prov. Ord. Confirm. (No. 5), is. ; Ditto (No. 8), 25. 3d. ; Ditto (No. 9), is. 3d.; Neath Canal Navigation, 3d.; Ormskirk Gas and Elec- tricity, 2s. 6d.; Seaforth and Sefton Junction Railway, is 3d ; Skegness Urban District Gas, is. ; Streatley and Goring Bridge, is. 60.; Sunderland Corporation (Wearmouth Bridge), IS. 6d.; Sutton District Waterworks, 60; Warwick Gas, 2s.6d.; West Gloucestershire Water, 6d. . WYMAN, Oct, 15",2,10,True,False,False,True,False,False,False,False
"Active service pocket dictionary and letter wallet. 8vo. IS. net ..GALE & P., Apr. 15",2,10,True,False,False,False,False,False,False,False
"Actor s, Amateur, companion, Methley (V. M.) 28. 6d. net.... .May 15",2,10,False,False,False,False,False,False,False,False
"Acts—Index to Local and Private Acts, 1914. 58. gd. .WYMAN, July 15",2,10,True,False,False,False,False,False,False,False
"Acts—Index to Public General Acts, 1914. 71d. WYMAN, Feb. 15",2,10,True,False,False,False,False,False,False,False
"Acts—Public General Acts, 1914. With index, &c. In one vol. 8vo. 35.....WYMAN, Feb. 15",2,10,True,False,False,False,False,True,False,False
"Acts-Alexandra (Newport and S. Wales) docks and railway, 25. 3d.; De Trafford Estate, 55. gd.; Edenbridge and District gas, 25. 6d. ; Ellesmere Port and Whitby Urban District Council, 35. 60.; Falkland and Pluscarden Estates, is. gd.; Great Western Railway, 155.; Hay- wards Heath gas, 25. 6d. ; Hesketh Estate (flood defences), 25. ed. ; Newcastle-on-Tyne Corporation, 28. 3d. ; Norwich electric tram- ways, 25. 6d. ; Poole Harbour, 25. 6d. ; Porth. cawl Urban District Council, 4s. 60.; St. Anne's on-the-Sea improvement, 28. gd. ; Sheffield Corporation, 45. 3d. ; Skegness Urban District Council, 25. 3d.; Wadhurst and District gas, 25. 60.; Wesleyan and General Assurance Society, 2s. 9d. ; West Gloucester shire water, 28. od ; York Corporation, 45. 3d. WYMAN, Jan. 19 Acts —Army (Amendment), fd.; Army (Annual) Id.; Army (Suspension of sentences), įd.; British ships (Transfer restriction), įd.; Consolidated Fund (No. 2), Įd. ; Customs (War powers), įd. ; Defence of the Realm (Amend- ment), įd.; Do. (No. 2), £d. ; Injuries in War (Compensation), id.; Irish police (Naval and military service), d.; Legal proceedings against enemies, id.; National Insurance (Pt. ! Amendment), d.; Do. (Pt. 2), 4d.; Naval discipline, id. ; Naval marriages, jd.; Naval Medical Compassionate Fund, d.; Universities and colleges (Emergency powers), id... .WYMAN, Mar. 15",2,10,True,False,False,True,False,False,False,False
"Acts-Army (transfers), d.; British North America, fd. ; Copyright (British Museum) {d.; Defence of the Realm (Amend.) No. 3, fd.; Fishery harbours, id. ; Fugitive offenders (Protected States), fd.; Housing (Rosyth Dockyard), fd.; Immature spirits (restriction), d.; Marriage of British subjects (facilities), jd. ; Naval discipline, id. ; Police (emergency prov.), fd.; Special constables (Scotland), Id.; Statutory companies (redeemable stock), įd.; Naval discipline, 1866, 4d.; L.G.B.'s Prov. Ord. Confirm. 23, 25. .... WYMAN, May 15",2,10,True,False,False,True,False,False,False,False
"Acts-Consolidated Fund (3), d.; Ministry of munitions, id. ; Re-election of ministers, d.; Aberdeen Corporation Ord. Confirm., 2s. WYMAN, June 15",2,10,True,False,False,False,False,False,False,False
"Acts-Army (Amendment) (No. 2), 1915, id. ; Customs (Exportation Restriction), fd.; Milk and Dairies (Postponement), Id. ; Munitions of War, 2d.; National Registration, itd.; Prize Courts, id.; War Loan, fd.; War Loan : :",,,False,False,False,True,False,False,False,False
Oct. 15,3,11,False,False,False,False,False,False,True,False
"ile 9s. net Acts of the Apostles, Knapp (C.) Vol. 2. IS. net Aug. 15",3,11,False,False,False,False,True,False,False,False
"Acts of the Apostles, Stokes (G. T.) 2 vols. ea. 28. 6d. net ..Nov. 15",3,11,False,False,False,False,False,False,False,False
"Adair (Cecil)—The Sails of life. Cr. 8vo. 7* 4*, pp. 420, 6s. ..S. PAUL, July 15",3,11,True,False,False,False,False,False,False,False
"Adam (George)—Behind the scenes at the Front. 8vo. 9 X 51, pp. 240, 6s. net ..CHATTO, June 15",3,11,True,False,False,False,False,False,False,False
"Adam (Paul)-Stéphanie. Cheap ed. 18mo. 61 X 4, pp. 282, is. net ...NELSON, Oct. 15",3,11,True,False,False,False,False,False,False,False
"Adamnan, Virâf, and Dante : Dante papers' Modi (J. J.) 1os. 6d, net...... ....May 15",3,11,False,False,False,False,False,True,False,False
"Adams (Alexander A.)—The Plateau peoples of South America ; an essay in ethnic psychology. Cr. 8vo. 74 x 5, pp. 142, 3s. 6d. net ROUTLEDGE, Apr. 15",3,11,True,False,False,False,False,False,False,False
"Adams (Arthur)-Grocer Greatheart. Cr. 8vo. 73 X5, pp. 336, 6s. .LANE, Feb. 15",3,11,True,False,False,False,False,False,False,False
"Adams (Frank D.)--Problems of American geology, 175. net.... ..Mar. 15",3,11,False,False,False,False,False,False,False,False
"Adams (George Matthew)—You can : a collection of brief talks on the most important topic in the world—your success. Cr. 8vo. 71 x 5, pp. 128, 25. net ...SIMPKIN, Sep. 15",3,11,True,False,False,False,False,False,False,False
"Adams (J. Esslemont)-The Chaplain and the War. Cr. 8vo. 71 X 5, pp. 62, swd., 6d. net T. & T. CLARK, Dec. 15",3,11,True,False,False,False,False,False,False,False
"Adams (John)—The Great sacrifice; or, The Altar-fire of war. Cr. 8vo., pp. 146, swd. is. net .CLARK, Nov. 15",3,11,True,False,False,False,False,False,False,False
"Adams, John, Political science of, Walsh (C. M.) ..Apr. 15",3,11,False,False,False,False,False,False,False,False
"Adams (John Quincy)-Writings. Ed. by Worthington C. Ford. Vol. 5, 1814-1816. Svo. 155. net . . MACMILLAN, July 15",3,11,True,False,False,False,False,False,False,False
"Adams (Morley) ed.--The Scout's active service book. ....FROWDE, and H. & S., Dec. 15",3,11,True,False,False,False,False,False,False,False
"Adams (Morley)-Toy-making at home : how to make a hundred toys from odds and ends. 8vo., pp. 92, Is. net .. JACK, Nov. 15",3,11,True,False,False,False,False,False,False,False
"Adams (Samuel H.)--Average Jones. Cheap ed. Cr. 8vo. swd. Is. net...... PALMER, May 15",3,11,True,False,False,False,False,True,False,False
"Adams (W. G. S.)- International control. 8vo. 81 X54, pp. 16. 2d. (Papers for war time) MILFORD Mar. 15",3,11,False,False,False,True,False,False,False,False
"Adams (W. J. Phythian-) see Phythian-Adams. Adamson (Ellen Winifred)—The School, the child and the teacher: suggestions for students in training. Cr. 8vo. 7! X5, pp. 406, 4s. 6d. LONGMANS, Jan. 15",3,11,True,False,True,True,False,False,False,False
"Adamson (John E.)-Songs from the South. Cr. 8vo. 45. 6d. net ..LONGMANS, Dec. 15",3,11,True,False,False,False,False,False,False,False
"Adcock (A. St. J.) ed.—The Odd volume, 1915. IS. net. ...Oct, 15",3,11,False,False,False,False,False,False,False,False
"Adcock (A. John)-Seeing it through : how Britain answered the call. Cr. 8vo., pp. 192, swd. is, net .. HODDER & S., Apr. 15",3,11,True,False,False,False,False,False,False,False
"Adcock (K. J.)-Leather, from the raw material to the finished product. Illus. Cr. 8vo. 71 x 41, pp. 168, Is. 6d. net ........PITMAN, June 15",3,11,True,False,False,False,False,True,False,False
"Addams (Jane)-A New conscience and an ancient evil. New ed. Cr. 8vo. 7} X 4), pp. 232, 28. net MACMILLAN, Aug. 15",3,11,True,False,False,False,False,False,False,False
"Addison (Joseph)-Essays. Chosen and edited with a preface and a few notes by Sir James George Frazer. 2 vols. Cr. 8vo. 77 X48, pp. 454, 490, 8s. net (Eversley series) MACMILLAN, Feb. 15",3,11,True,False,False,True,False,False,False,False
"Addison (Joseph)-Miscellaneous works. Ed. by A. E. Guthkelch. Vol. 2. 8vo., 78. 6d. net BELL, Oct. 15",3,11,True,False,False,False,False,False,False,False
"Addison, Essays on, by Johnson, Macaulay and Thackeray. With Essays by A., and Life of Johnson, Hadow (G. E.) 25. 6d.........Oct. 15",3,11,False,False,False,False,False,True,False,False
"Addresses at church parade services, Prosser (D. L.) is. net .. June 15",3,11,False,False,False,False,False,False,False,False
"IS. Addresses, Outline : Weapons for workers, Ellis (J.) 28. net Adelaide, Queen, Life and times of, Sandars (M. F.) 16s. net .Nov. 15",3,11,False,False,False,True,True,False,False,False
"Adeney (Walter F.)- Faith to-day. 18mo. 61 x 41, pp. 94, is. net. ...CLARKE, Dec. 15",3,11,True,False,False,False,False,False,False,False
"Adjumenta Oratoris Sacri, Schouppe (F. X.) 75. 6d. net .Feb. 15",3,11,False,False,False,False,False,False,False,False
"Adkins (Frank J.)—The War : its origins and warnings. Cr. 8vo. 7} X41, pp. 228, 2s. 6d. net ALLEN & UNWIN, Jan. 15",3,11,True,False,False,False,False,False,False,False
"Adler (Elizabeth) —The Crochet lace book : a series of twenty-six novel, effective and easy designs. 4to., pp. 52, swd. is. net BAZAAR OFFICE, Oct. 15",3,11,True,False,False,False,False,False,False,False
"Administrators-general, &c., in India, Law rela. to, Kinney (A.) 18s. net ..Apr. 15",3,11,False,False,False,False,False,False,False,False
"Admirable Carfew, Wallace (E.) 6d. ..Sep. 15",3,11,False,False,False,False,False,False,False,False
"Admirable painter : Leonardo da Vinci, Anderson (A. J.) 1os. 6d. net ..Aug. 15",3,11,False,False,False,False,False,False,False,False
"Admiralty-Compass on land (The Magnetic). With protractor, 25. 6d. ; without protractor, 6d. .WYMAN, May 15",3,11,True,False,False,False,False,False,False,False
"Admiralty-Dockyard expense accounts, 1913-14",3,11,False,False,False,False,False,False,False,False
"IS. 6u. WYMAN, July 15",3,11,True,False,False,False,False,False,True,False
"Admiralty-Gunnery: Result of test of gun- layers with heavy guns and light Q.F. guns in H.M. Fleet, 1914. 4d. WYMAN, June 15",3,11,True,False,False,False,False,False,False,False
"Admiralty-Hydrographic. The Supplements noted here are gratis to purchasers of the various Pilots : Admiralty-Hydrographic. Africa Pilot. Pt. 3, South and East Coasts of Africa from the Cape of Good Hope to Ras Hafún 8th ed., 1915. 58. POTTER, Oct. 15",3,11,True,False,False,False,False,False,False,False
"Admiralty-Hydrographic. Alaska and Bering Sea pilot, 1908. Rev. supp. (3) POTTER, Nov. 15",3,11,True,False,False,False,False,False,False,False
"Admiralty-Hydrographic. Arctic pilot. Vol. 1, 1907. Rev. supp. (2), 1915..POTTER, Aug. 15",3,11,True,False,False,False,False,False,False,False
"Admiralty-Hydrographic. Australia pilot. Vol. 5, North, North-West and West Coasts between the Western Approach to Torres Strait and Cape Leeuwin. Ist ed. 35...J. D. POTTER, Jan. 15",3,11,True,False,False,False,False,False,False,False
"Admiralty-Hydrographic. Charts, plans, and sailing directions : Geographical catalogue. Dec. 31, 1914, Gratis ...POTTER, May 15",3,11,True,False,False,False,False,False,False,False
"Admiralty-Hydrographic. China Sea Pilot. Vol. 2, Directions for the approaches to Singa- pore and the China Sea, from the Indian Ocean, by Sunda, Banka, Gaspar, Carimata, Rhio, Berhala, and Durian Straits, ist ed., 1915, 35. ; ditto, Vol. 5, Supp., 1915......POTTER, Oct. 15",3,11,True,False,False,False,False,True,False,False
"Admiralty-Hydrographic. China Sea pilot. Vol. 4, 1912. Supp. 1915 .POTTER, Mar. 15",3,11,True,False,False,False,False,False,False,False
"Admiralty-Hydrographic. Distance tables. Vol. 1, North and West Coasts of Europe from White Sea to the Straits of Gibraltar, incl. the British Islands, Iceland, Faeroes, and the Baltic. 2nd ed., Is. 6d. ...POTTER, Nov. 15",3,11,True,False,False,False,False,False,False,False
"Admiralty-Hydrographic. Lights and time signals, List of, 1915 (corrected to Dec. 31, 1914). Pt. 1, British Islands, Is. 6d. ; 2, North and Arctic Seas, except Brit. Islands, 25. 6d. ; 3, Baltic Sea, 25. ; 4, Eastern side of North and South Atlantic Oceans, South of Dunkerque, IS. 60.; 5, Mediterranean, Black and Red Seas, Is. 6d.; 6, Indian and West Pacific Oceans, 28. ; 7, Western side of South Atlantic Ocean and East Pacific Ocean, is. ; 8, Western side of North Atlantic Ocean (Canada, New- foundland and Labrador), Is. 6d. ; 9, Western side of North Atlantic Ocean (United States of America, Gulf of Mexico, West Indies and North Coast of South America to Cape Orange) is. 6d. J. D. POTTER, Jan. 15",3,11,True,False,False,True,False,False,False,False
"Admiralty-Hydrographic. New Zealand Pilot, 1908. Supp. No. 2, 1915. POTTER, May 15",3,11,True,False,False,False,False,False,False,False
B 2,,,False,False,False,False,False,False,True,False
"Adventures of Hans Müller, Lang (A.) Is. 6d. Feb. 15",4,12,False,False,False,False,False,False,False,False
"Adventures of Lieut. Lawless, R.N., Bennett (R.) 28. net ..July 15",4,12,False,False,False,False,False,False,False,False
"Adventures of Seumas Beg; Rocky road to Dublin : verses for children, Stephens (J.) 38. 6d, net.. ...Oct. 15",4,12,False,False,False,False,False,False,False,False
"Adventures of Teddy Tail of the Daily Mail,' Folkard (C.) is. net Oct. 15",4,12,False,False,False,False,False,False,False,False
"Adventures of the ten little dolls. By M. V. D. (A.). 7x4, pp. 45, is, net ....STOCKWELL, Aug. 15",4,12,True,False,False,False,False,False,False,False
"Adventurous love, verses, Cannan (G.) 38. 6d. net Oct. 15",4,12,False,False,False,False,False,False,False,False
28. Dec. 15,4,12,False,False,False,False,False,False,True,True
Nov. 15,4,12,False,False,False,False,False,False,True,False
"Admiralty-Hydrographic. Norway pilot. Pt. 1, 1907. Rev. supp. (2), 1915. POTTER, July 15",4,12,True,False,False,False,False,False,False,False
"Admiralty-Hydrographic, Norway pilot. Pt. 2, From the Naze to the Halten Islands 4th ed. 45... ..POTTER, Apr. 15",4,12,True,False,False,False,False,False,False,False
"Admiralty-Hydrographic. Norway pilot. Pt. 3, Halten Islands to the North Cape, thence to Jacob Elv. ist ed. 35... J. D. POTTER, Jan. 15",4,12,True,False,False,False,False,False,False,False
"Admiralty--Hydrographic. Notices to mariners, 1914, Index to. Is...........POTTER, Mar. 15",4,12,True,False,False,False,False,True,False,False
"Admiralty-Hydrographic. Oceanic depths re- ceived at the Admiralty during 1914, List of, ....POTTER, Apr. 15",4,12,True,False,False,False,False,False,False,False
"Admiralty-Hydrographic. Pacific Islands. Vol. 1, 1908. Supp. No. 2 .POTTER, June 15",4,12,True,False,False,False,False,False,False,False
"Admiralty-Hydrographic. Pacific Islands. Vol. 3, 1909. Rev. supp., 1915..POTTER, Aug. 15",4,12,True,False,False,False,False,False,False,False
"Admiralty-Hydrographic. Persian Gulf pilot, comprising the Persian Gulf, Gulf of Omar and Makrán Coast. 6th ed. 4s.....POTTER, Feb. 15",4,12,True,False,False,False,False,True,False,False
"Admiralty–Hydrographic. Red Sea and Gulf of Aden pilot, 1909. Supp. No. 2, 1915 POTTER, Apr. 15",4,12,True,False,False,False,False,False,False,False
"Admiralty-Hydrographic. Tide tables, 1916 IS. 6d. ..POTTER, Nov. 15",4,12,True,False,False,False,False,False,False,False
"Admiralty--Hydrographic. United States (East Coast) pilot. Pt. 2, 1909. Rev.supp. POTTER, Nov. 15",4,12,True,False,False,False,False,False,False,False
"Admiralty-Hydrographic. West Coast of India piloi, 1909. Rev. supp. (1), 1915 POTTER, July 15",4,12,True,False,False,False,False,False,False,False
"Admiralty-Hydrographic. West coasts of Cent. America and the United States, Sailing direc- tions for the, 1907. Rev. supp., 2 POTTER, June 15",4,12,True,False,False,False,False,False,False,False
"Admiralty-Hydrographic. West India pilot. Vol. 3, 1909. Rev. supp., 1915 POTTER, Aug 15",4,12,True,False,False,False,False,False,False,False
"Admiralty-Hydrographic. West Indies pilot. Vol. 1, 1912. Supp., 1915 ..POTTER, Aug 15",4,12,True,False,False,False,False,False,False,False
"Admiralty-Nautical almanac and astronomical ephemeris for 1918, 28. 6d. .. WYMAN, Oct. 15",4,12,True,False,False,False,False,False,False,False
"Admiralty-Navigation, Admiralty manual of, 1914, 3s. .WYMAN, Apr. 15",4,12,True,False,False,False,False,False,False,False
"Admiralty-Navy list (monthly; quarterly) ea. Is. 60., 35. ... WYMAN, Jan , &c, 15",4,12,True,False,False,False,False,False,False,False
"Admiralty-Reserve, Royal Naval (Men): Regu- lations. Rev. to July 31, 1914. 9d. W'YMAN, Mar. 15",4,12,True,False,False,False,False,False,False,False
"Admiralty-Seamanship, Manual of. Vol. 1, 1908. Rev. and repr., 1915, Is. 60. .. WYMAN, Oct. 15",4,12,True,False,False,False,False,False,False,False
