,entry,last_name,first_name,title,publisher,price,format,original_entry,author_name,creators,is_editor,date,catalogue_year,is_net
13,"Abbott (G. F.)-1srael in Egypt. 8vo. 9 × 51. pp. 554, IOS. net MACMILLAN, June 07",Abbott,G. F.,,MACMILLAN,,8vo.,"Abbott (G. F.)-Israel in Egypt. 8vo. 9 × 51. pp. 554, IOS. net MACMILLAN, June 07",G. F. Abbott,['Abbott (G. F.)'],,June 07,1907,
15,"Abbott (L.)-The Industrial Problem. (William L. Bull Lectures). 8vo. pp. 196, 3s. 6d. net DE LA MORE PRESS, Feb. 07",,,,DE LA MORE PRESS,3s. 6d.,,"Abbott (L.)-The Industrial Problem. (William L. Bull Lectures). 8vo. pp. 196, 3s. 6d. net DE LA MORE PRESS, Feb. 07",,['Abbott (L.)-The Industrial Problem. (William L. Bull Lectures)'],,Feb. 07,1907,net
16,"Abductors, Prague (Joseph) 6s..... A'Beckett (G. A.)-The Comic History of Eng- land. Illus. by John Leech. New edit. 8vo. 8×51, pp. 650, 7s. 6d. ROUTLEDGE, June 07","Abductors, Prague",Joseph,,ROUTLEDGE,7s. 6d.,8vo.,"Abductors, Prague (Joseph) 6s..... A'Beckett (G. A.)-The Comic History of Eng- land. Illus. by John Leech. New edit. 8vo. 8×51, pp. 650, 7s. 6d. ROUTLEDGE, June 07","Joseph Abductors, Prague","['Abductors, Prague (Joseph)']",,June 07,1907,
28,"8vo. swd. 1s. GARDNER, D., May 07",,,,"GARDNER, D.",1s.,,"8vo. swd. Is. GARDNER, D., May 07",,,,May 07,1907,
29,"........ Acanthia, Stigand (W.) 6s. net Accidents Will Happen; or, the Tribulations of Mr. and Mrs. Boffles under the Employers Liability Act, 1907. 30 illus. by C. Harrison and W. K. Haselden. Oblong 8vo. swd., is. net NUTT, June 07","........ Acanthia, Stigand",W.,,NUTT,,8vo.,"........ Acanthia, Stigand (W.) 6s. net Accidents Will Happen; or, the Tribulations of Mr. and Mrs. Boffles under the Employers Liability Act, 1907. 30 illus. by C. Harrison and W. K. Haselden. Oblong 8vo. swd., is. net NUTT, June 07","W. ........ Acanthia, Stigand","['........ Acanthia, Stigand (W.)']",,June 07,1907,
37,"Act-Army (Annual), ijd. .WYMAN, May 07",Act-Army,Annual,,WYMAN,,,"Act-Army (Annual), ijd. .WYMAN, May 07",Annual Act-Army,['Act-Army (Annual)'],,May 07,1907,
39,"Act-Consolidated Fund (No. 1), jd. WYMAN, April 07",Act-Consolidated Fund,No. 1,,WYMAN,,,"Act-Consolidated Fund (No. 1), jd. WYMAN, April 07",No. 1 Act-Consolidated Fund,['Act-Consolidated Fund (No. 1)'],,April 07,1907,
51,"Acts-Dover Harbour (Works, &c.,) 3s. 3d.; Ure Elder Fund Order Confirmation, 1s. ..... WYMAN, Jan. 07",Acts-Dover Harbour,"Works, &c.,",,WYMAN,1s.,,"Acts-Dover Harbour (Works, &c.,) 3s. 3d.; Ure Elder Fund Order Confirmation, Is. ..... WYMAN, Jan. 07","Works, &c., Acts-Dover Harbour","['Acts-Dover Harbour (Works, &c.,)']",,Jan. 07,1907,
62,"Aets-L.C.C. (Tramways and Improvements). 2s. 3d.; L.C.C. (General Powers), 3s. 3d. Armagh Urban District Council, 1s. 9d.; Lanarkshire County Council Order Confirma- tion, gd. .WYMAN, Oct. 07",Aets-L.C.C.,Tramways,,WYMAN,,,"Aets-L.C.C. (Tramways and Improvements). 25. 3d.; L.C.C. (General Powers), 3s. 3d. Armagh Urban District Council, 1s. 9d.; Lanarkshire County Council Order Confirma- tion, gd. .WYMAN, Oct. 07",Tramways Aets-L.C.C.,"['Aets-L.C.C. (Tramways)', 'Aets-L.C.C. (Improvements)']",,Oct. 07,1907,
67,"4s. 3d. Acts-Portobello and Musselburgh Tramways (Levenhall Extension) Order Confirmation, 1s. 3d.; Pier and Harbour Orders Confirmation (No. 3), 2s.; Education Board Provisional Order Confirmation (London, No. 1), 1s. .... Acts, Public General, Index to, WYMAN, Oct. 07",,,,WYMAN,,,"4s. 3d. Acts-Portobello and Musselburgh Tramways (Levenhall Extension) Order Confirmation, Is. 3d.; Pier and Harbour Orders Confirmation (No. 3), 2s.; Education Board Provisional Order Confirmation (London, No. 1), Is. .... Acts, Public General, Index to, WYMAN, Oct. 07",,,,Oct. 07,1907,
68,"1906. 81d. WYMAN, Feb. 07",,,,WYMAN,81d.,,"1906. 81d. WYMAN, Feb. 07",,,,Feb. 07,1907,
69,"WYMAN, Feb. 07",,,,WYMAN,,,"WYMAN, Feb. 07",,,,Feb. 07,1907,
70,"8d. Index to, &c. ; WYMAN, Nov. 07",,,,WYMAN,,,"8d. Index to, &c. ; WYMAN, Nov. 07",,,,Nov. 07,1907,
129,"....CASTELL, Aug. 07",,,,CASTELL,,,"....CASTELL, Aug. 07",,,,Aug. 07,1907,
196,"DULAU, Dec. 07",,,,DULAU,,,"DULAU, Dec. 07",,,,Dec. 07,1907,
213,"Cr. 8vo. 1s. 6d. ..NISBET, Mar. 07",,,,NISBET,1s. 6d.,8vo.,"Cr. 8vo. Is. 6d. ..NISBET, Mar. 07",,,,Mar. 07,1907,
215,"Illus. By Helen 388, 5s. BLACKIE, Oct. 07",,,,BLACKIE,5s.,,"Illus. By Helen 388, 5s. BLACKIE, Oct. 07",,,,Oct. 07,1907,
306,"WYMAN, April 07",,,,WYMAN,,,"WYMAN, April 07",,,,April 07,1907,
309,"Army, King's, Tucker (A. B.) 5s. Army-List of Technical Terms. 2d. WYMAN, Feb. 07","Army, King's, Tucker",A. B.,,WYMAN,2d.,,"Army, King's, Tucker (A. B.) 5s. Army-List of Technical Terms. 2d. WYMAN, Feb. 07","A. B. Army, King's, Tucker","[""Army, King's, Tucker (A. B.)""]",,Feb. 07,1907,
320,".WYMAN, Mar. 07",,,,WYMAN,,,".WYMAN, Mar. 07",,,,Mar. 07,1907,
342,"64mo. Ithr. 1s. (Miniature W. P. NIMMO, Feb. 07",,,,W. P. NIMMO,,,"64mo. Ithr. Is. (Miniature W. P. NIMMO, Feb. 07",,,,Feb. 07,1907,
389,"..CLIVE, Nov. 07",,,,CLIVE,,,"..CLIVE, Nov. 07",,,,Nov. 07,1907,
404,".HARRAP, Mar. 07",,,,HARRAP,,,".HARRAP, Mar. 07",,,,Mar. 07,1907,
408,"Australia, South, Handbook, with Map, id. WYMAN, July 07",,,,WYMAN,,,"Australia, South, Handbook, with Map, id. WYMAN, July 07",,,,July 07,1907,
