entry,last_name,first_name,title,publisher,price,format,original_entry,author_name,creators,is_editor,date,catalogue_year,is_net
"Aberdeen (Univ. of)-Annual report on the state of finances. 5d. ... WYMAN, June 15",Aberdeen,Univ. of,Annual report on the state of finances,WYMAN,5d.,,"Aberdeen (Univ. of)-Annual report on the state of finances. 5d. ... WYMAN, June 15",Univ. of Aberdeen,['Aberdeen (Univ. of)'],,June 15,1915,
"Aberdeen University-Annual statistical report, 1913-14. Ifd. . WYMAN, Mar. 15",,,Aberdeen University-Annual statistical report,WYMAN,,,"Aberdeen University-Annual statistical report, 1913-14. Ifd. . WYMAN, Mar. 15",,,,Mar. 15,1915,
"Accounts (Public)-Committee of : First report. fd. WYMAN, Feb. 15",Accounts,Public,Committee of : First report,WYMAN,,,"Accounts (Public)-Committee of : First report. fd. WYMAN, Feb. 15",Public Accounts,['Accounts (Public)'],,Feb. 15,1915,
"Accounts (Public)-Second report from the Committee on. id. . WYMAN, June 15",Accounts,Public,Second report from the Committee on,WYMAN,,,"Accounts (Public)-Second report from the Committee on. id. . WYMAN, June 15",Public Accounts,['Accounts (Public)'],,June 15,1915,
"Accounts (Public)-Committee of : 1st and 2nd Reports with Proceedings, Minutes of evidence, and Appendices. 1s. 1d. ....WYMAN, Aug. 15",Accounts,Public,Committee of :,WYMAN,1s. 1d.,,"Accounts (Public)-Committee of : 1st and 2nd Reports with Proceedings, Minutes of evidence, and Appendices. Is. Id. ....WYMAN, Aug. 15",Public Accounts,['Accounts (Public)'],,Aug. 15,1915,
"Accounts (Public)-Committee of: Index and digest of evidence. 3d. .. WYMAN, Oct. 15",Accounts,Public,Committee of: Index and digest of evidence,WYMAN,3d.,,"Accounts (Public)-Committee of: Index and digest of evidence. 3d. .. WYMAN, Oct. 15",Public Accounts,['Accounts (Public)'],,Oct. 15,1915,
"Acts—Appropriation, 3d.; Cotton Associations (Emergency action), 4d. ; Customs (War powers) (No. 2), d.; Elections and Registra- tion, d.; Execution of Trusts (War facilities) Amend., d. ; Expiring Laws Continuance, id. ; Finance, 2ld.; Government of India, 7d. ; 1sle of Man (Customs), Jd.; Maintenance of Live Stock, d.; Milk and Dairies (Consolidation), 2 d.; Naval Discipline (No. 2), id.; Notifica- tion of Births (Extension), fd.; Police Magis- trates (Superannuation); }d.; Price of Coal (Limitation) 1d.; Public Works Loan, id. ; Scottish Universities (Emergency Powers), d.; Special Acts (Extension of time), 1d.; Trading with the Enemy Amend., įd.; Naval Discip- line, 1866 (as amended, N.D. (No. 2) Act, 1915), 4d.; Electric Lighting Ord. Confirm. (No. 1.), 6d.; Forfar Gas Ord. Confirm., 1s. ; Frimley and Farnborough District Water, 1s. ; Gt. North of Scotland Railway Ord. Confirm., is. gd.; Highland Railway Ord. Confirm., 6d.; Irvine and District Water Bd. (Emergency powers) Ord. Confirm., is. ; L.G.B.'s Prov. Ord. Confirm. : No. 2, is. 6d. ; No. 3, is. ; No. 4, 9d.; No. 7, 3d. ; L.C.C. Money, gil.; L.C.C. Parks, &c., 6d. ; Metropolitan District Rail- way, 2s. 3d. ; Pack-Beresford's Divorce, gd.; Roy. School for Deaf and Dumb Children, Mar- gate, 66. ; Sea Fisheries (Cardigan Bay) Prov. Ord. Confirm., 6d. ; do. Poole, 9d. ; Tramways Ord. Confirm., 6d. WYMAN, Aug 15",,,Acts—Appropriation,WYMAN,6d.,,"Acts—Appropriation, 3d.; Cotton Associations (Emergency action), 4d. ; Customs (War powers) (No. 2), d.; Elections and Registra- tion, d.; Execution of Trusts (War facilities) Amend., d. ; Expiring Laws Continuance, id. ; Finance, 2ld.; Government of India, 7d. ; Isle of Man (Customs), Jd.; Maintenance of Live Stock, d.; Milk and Dairies (Consolidation), 2 d.; Naval Discipline (No. 2), id.; Notifica- tion of Births (Extension), fd.; Police Magis- trates (Superannuation); }d.; Price of Coal (Limitation) Id.; Public Works Loan, id. ; Scottish Universities (Emergency Powers), d.; Special Acts (Extension of time), 1d.; Trading with the Enemy Amend., įd.; Naval Discip- line, 1866 (as amended, N.D. (No. 2) Act, 1915), 4d.; Electric Lighting Ord. Confirm. (No. 1.), 6d.; Forfar Gas Ord. Confirm., Is. ; Frimley and Farnborough District Water, 15. ; Gt. North of Scotland Railway Ord. Confirm., is. gd.; Highland Railway Ord. Confirm., 6d.; Irvine and District Water Bd. (Emergency powers) Ord. Confirm., is. ; L.G.B.'s Prov. Ord. Confirm. : No. 2, is. 6d. ; No. 3, is. ; No. 4, 9d.; No. 7, 3d. ; L.C.C. Money, gil.; L.C.C. Parks, &c., 6d. ; Metropolitan District Rail- way, 2s. 3d. ; Pack-Beresford's Divorce, gd.; Roy. School for Deaf and Dumb Children, Mar- gate, 66. ; Sea Fisheries (Cardigan Bay) Prov. Ord. Confirm., 6d. ; do. Poole, 9d. ; Tramways Ord. Confirm., 6d. WYMAN, Aug 15",,,,Aug 15,1915,
"Acts—Ascot District Gas and Electricity, is. 3d. ; Blyth Harbour, is. 3d. ; Bristol Tramways, 3d.; Bury and District Joint Water Bd., 6d. ; Doncaster Corporation, 4s. 6d.; Dunfermline and District Tramways (Exten.) Ord. Confirm., 2s. ; Falmouth Docks, is.; Foleshill Road (Coventry) Congregational Chapel Scheme Confirm., 6d.; Gas and Water Ord. Confirm. (No. 1), 43. ; Glasgow Corporation (Parks, &c.) Ord. Confirm., is, 6d.; Great Central Railway, 6d. ; Ilfracombe Gas, 2s. ; Irvine and District Water Bd. Confirm., 1s. 3d. ; Kilmarnock Gas Ord. Confirm., 3d. ; Land Drainage Prov. Ord. Confirm. (Fangfoss, &c.), 3d. ; Ditto (Ouse), 1s.; Liverpool Corporation, 9d.; L.G.B. Prov. Ord. Confirm. (No. 6), is. 6d.; L.G.B. (Ireland) Prov. Ord. Confirm. (No. 1), is. ; London Chatham and Dover Railway, gd. ; London Electric Railway Companies' Facilities, 3d.; Mersey Railway, 6d.; Port Glasgow Gas and Burgh Exten. Ord. Confirm., 2s. 3d. ; Prov. Ord. (Marriages) Confirm., 3d.; Salop County Council (Shirehall and Guildhall), 9d. ; Sheffield Corporation (Tramways), gd.; Skegness Gas 2s. 3d. ; South Staffordshire Waterworks, 3s. ; Southend Waterworks, s. WYMAN, Sept. 15",,,"Acts—Ascot District Gas and Electricity, is",WYMAN,,,"Acts—Ascot District Gas and Electricity, is. 3d. ; Blyth Harbour, is. 3d. ; Bristol Tramways, 3d.; Bury and District Joint Water Bd., 6d. ; Doncaster Corporation, 4s. 6d.; Dunfermline and District Tramways (Exten.) Ord. Confirm., 25. ; Falmouth Docks, is.; Foleshill Road (Coventry) Congregational Chapel Scheme Confirm., 6d.; Gas and Water Ord. Confirm. (No. 1), 43. ; Glasgow Corporation (Parks, &c.) Ord. Confirm., is, 6d.; Great Central Railway, 6d. ; Ilfracombe Gas, 25. ; Irvine and District Water Bd. Confirm., Is. 3d. ; Kilmarnock Gas Ord. Confirm., 3d. ; Land Drainage Prov. Ord. Confirm. (Fangfoss, &c.), 3d. ; Ditto (Ouse), 15.; Liverpool Corporation, 9d.; L.G.B. Prov. Ord. Confirm. (No. 6), is. 6d.; L.G.B. (Ireland) Prov. Ord. Confirm. (No. 1), is. ; London Chatham and Dover Railway, gd. ; London Electric Railway Companies' Facilities, 3d.; Mersey Railway, 6d.; Port Glasgow Gas and Burgh Exten. Ord. Confirm., 25. 3d. ; Prov. Ord. (Marriages) Confirm., 3d.; Salop County Council (Shirehall and Guildhall), 9d. ; Sheffield Corporation (Tramways), gd.; Skegness Gas 25. 3d. ; South Staffordshire Waterworks, 3s. ; Southend Waterworks, IS. WYMAN, Sept. 15",,,,Sept. 15,1915,
"Acts---American Loan, d.; Consolidated Fund (No. 4), įd.; Post Office and Telegraph, d.; Altrincham Gas, is. 9d.; Brighton and Hove Gas, 6d.; Conway Fisheries Prov. Ord. Con- firm., 1s. 60.; Education Bd. Prov. Ord. Con- firm. (Derbyshire, &c.), 9d.; Ditto (London), s. ; Electric Lighting Ord. Confirm. (No.2), 2s.; Ditto (No. 5), is. gd.; Friends' Provident Institution, 2s. 3d.; Gas and Water Ord. Confirm. (No. 3), 4s. 6d.; Great Eastern Rail- way, 3s. gd.; Halifax Corporation, 2s. 6d. ; Land Drainage (Raveningham) Prov. Ord. Confirm., 3d.; Local Government Board's Prov. Ord. Confirm. (No. 5), is. ; Ditto (No. 8), 2s. 3d. ; Ditto (No. 9), is. 3d.; Neath Canal Navigation, 3d.; Ormskirk Gas and Elec- tricity, 2s. 6d.; Seaforth and Sefton Junction Railway, is 3d ; Skegness Urban District Gas, is. ; Streatley and Goring Bridge, is. 60.; Sunderland Corporation (Wearmouth Bridge), s. 6d.; Sutton District Waterworks, 60; Warwick Gas, 2s.6d.; West Gloucestershire Water, 6d. . WYMAN, Oct, 15",,,"Acts---American Loan, d",WYMAN,6d.,,"Acts---American Loan, d.; Consolidated Fund (No. 4), įd.; Post Office and Telegraph, d.; Altrincham Gas, is. 9d.; Brighton and Hove Gas, 6d.; Conway Fisheries Prov. Ord. Con- firm., Is. 60.; Education Bd. Prov. Ord. Con- firm. (Derbyshire, &c.), 9d.; Ditto (London), IS. ; Electric Lighting Ord. Confirm. (No.2), 25.; Ditto (No. 5), is. gd.; Friends' Provident Institution, 25. 3d.; Gas and Water Ord. Confirm. (No. 3), 45. 6d.; Great Eastern Rail- way, 3s. gd.; Halifax Corporation, 25. 6d. ; Land Drainage (Raveningham) Prov. Ord. Confirm., 3d.; Local Government Board's Prov. Ord. Confirm. (No. 5), is. ; Ditto (No. 8), 25. 3d. ; Ditto (No. 9), is. 3d.; Neath Canal Navigation, 3d.; Ormskirk Gas and Elec- tricity, 2s. 6d.; Seaforth and Sefton Junction Railway, is 3d ; Skegness Urban District Gas, is. ; Streatley and Goring Bridge, is. 60.; Sunderland Corporation (Wearmouth Bridge), IS. 6d.; Sutton District Waterworks, 60; Warwick Gas, 2s.6d.; West Gloucestershire Water, 6d. . WYMAN, Oct, 15",,,,"Oct, 15",1915,
"Acts—Index to Local and Private Acts, 1914. 58. gd. .WYMAN, July 15",,,Acts—Index to Local and Private Acts,WYMAN,,,"Acts—Index to Local and Private Acts, 1914. 58. gd. .WYMAN, July 15",,,,July 15,1915,
